Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-08-16,6254.2,6464.37,6220.4,6320.35,158.13156447,1001337.3497989,6332.3053379953
2018-08-17,6325.5,6583.88,6304.2,6582.64,143.91470967,931340.32065259,6471.4741306721
2018-08-18,6588.7,6615.5,6327.3,6405.6,144.29028005,930099.03524567,6446.0269598435
2018-08-19,6402.1,6542.0,6335.6,6486.9,141.56235149,907754.83147706,6412.4028876504
2018-08-20,6489.4,6520.8,6256.01,6262.34,155.05038217,996037.10108359,6423.9577300204
2018-08-21,6258.9,6490.81,6256.03,6471.21,134.81586844,862366.38323691,6396.6237299484
2018-08-22,6480.83,6863.47,6250.0,6340.51,320.11272648,2090095.3958166,6529.2480520832
2018-08-23,6359.53,6535.4,6355.4,6511.9,129.47917924,832912.5954601,6432.7917457388
2018-08-24,6519.1,6709.3,6464.05,6676.5,111.90493202,731620.43828246,6537.8748288923
2018-08-25,6677.8,6786.3,6657.3,6735.1,110.99763185,744787.12630687,6709.9370850845
2018-08-26,6717.0,6755.1,6565.0,6701.6,79.34558673,528581.47780007,6661.7627972019
2018-08-27,6686.1,6900.9,6647.3,6881.5,68.98307432,464460.21723587,6732.959089085
2018-08-28,6886.5,7116.3,6831.2,7074.0,81.12909324,566053.23932794,6977.1917412341
2018-08-29,7074.68,7093.95,6929.29,7022.4,113.18654318,794106.8070124,7015.9118275176
2018-08-30,7024.7,7036.7,6808.8,6984.1,93.13021899,646085.57722461,6937.4429076988
2018-08-31,6985.5,7063.3,6893.78,7007.0,58.69356274,409866.41199354,6983.1578261685
2018-09-01,7010.5,7233.0,7009.71,7185.9,91.24815143,648287.99841079,7104.669938526
2018-09-02,7182.8,7321.6,7135.2,7287.7,29.768857,215753.69192102,7247.6310367247
2018-09-03,7295.67,7317.8,7190.9,7240.0,24.80554106,179989.03601598,7256.0012128186
2018-09-04,7254.8,7378.9,7235.0,7352.6,39.52703475,289200.17774603,7316.5158878008
2018-09-05,7352.6,7382.34,6661.9,6680.9,161.10809696,1140415.3558061,7078.5725691321
2018-09-06,6665.3,6687.4,6271.5,6498.37,158.86146621,1018333.1946741,6410.1963740407
2018-09-07,6496.9,6542.1,6354.83,6395.59,79.67066194,514776.47180658,6461.30531957
2018-09-08,6395.59,6464.6,6142.6,6204.0,113.28065195,711545.58729844,6281.2631729248
